hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Tommaso de Bassignana,male,artefices,,,Maddalena,Russian,female,45,,Giovanni de Fo,male,artefices,,,3,32,,,,,10.6,1456,1456
Isabella Giustiniani,female,mercantes,,,Maddalena,Abkhazan,female,28,,Giuliano,male,,,,14,150,,,,,10.71,1473,1473
Emanuele Usodimare,male,nobiles,,,Margherita,Abkhazan,female,36,,Antonio de Franchi,male,mercantes,,,8,86,,,,y,10.75,1449,1449
Paolo Cattaneo,male,nobiles,,,Lucia,Tartaran,female,,,Niccolò de Rossano,male,,,,2.75,30,,,,y,10.9,1385,1385-02-21
Niccolò Gentile,male,nobiles,,,Maria,Hungarian,female,25,,Paulo Sauli,male,mercantes,,,7.7,84.3,,,,,10.95,1491,1491
Gabriele Marcone,male,mercantes,,,Anna,Russian,female,28,,Giovanni Gregorio Stella,male,artefices,,,1,11,,,,,11,1454,1454-05-17
Tomasino de Uncio,male,artefices,,,Lucia,Moorish,female,,,Stefano Cicala,male,nobiles,,,11,121,,,,,11,1493,1493
Raffaele Odone,male,mercantes,,,Maria,Hungarian,female,,,Paulo Sauli,male,mercantes,,,7.2,79.8,,,,,11.08,,1491
Benedetto di Negro,male,nobiles,,,Caterina,,female,32,,Antonio Doria,male,nobiles,,,9,100,,,,,11.11,1455,1455-06-10
Niccolò Marcone,male,,,,Caterina,Hungarian,female,35,,Tommaso Doria,male,nobiles,,,9,100,,,,,11.11,1479,1479-05-06
Cosmo Centurione,male,nobiles,,,Maria,Albanian,female,21,,Francesco Centurione,male,nobiles,,,8,90,,,,,11.25,1476,1476-03-05
Francesco Maruffo,male,mercantes,,,Lucia,Circassian,female,24,,Giovanni Battista Grimaldi,male,nobiles,,,8,90,,,,,11.25,1469,1469-11-07
Giuliano Maruffo,male,mercantes,,,Caterina,Circassian,female,35,,Andrea de Ferrari,male,artefices,,,4,45,,,,,11.25,1483,1483
Luchina Spinola,male,nobiles,,,Maria,Abkhazan,female,22,,Teodorina Spinola,female,nobiles,,,20,225,,,,,11.25,1499,1499
Battista Foglietta,male,artefices,notarius,,Caterina,,female,28,,Girolamo de Savinione,male,mercantes,,Savignone,3,34.5,,,,,11.5,1430,1430
Luca de Fornari,male,mercantes,,,Lucia,Tartaran,female,26,,Giovanni Giustiniani,male,mercantes,,,10,115,,,,,11.5,,1447-05-16
Blasio de Bargono,male,artefices,,Bargone,Anna,Russian,female,50,,Giacomo Solario,male,artefices,faber,,3,35,,,,y,11.6,1476,1476-11-25
Leonardo Cibo,male,nobiles,,,Cita,Moorish,female,30,,Niccolò Panigarola,male,nobiles,,,5,58,,,,,11.6,1488,1488-08-12
Battista de Benisia,male,artefices,,,Divizia,Circassian,female,22,,Lodisio Delfino,male,artefices,accimator,,6,70,,,,,11.67,1427,1427-04-08
Agostino Boto,male,artefices,speciarius,,Maddalena,Circassian,female,25,,Antonio de Ferrari,male,artefices,,Vigevano,1,12,,,,,12,1461,1461-05-28
Benigno de Cassina,male,mercantes,,Albisola,Maria,Moorish,female,26,,Cristoforo Leardi,male,artefices,,,10,120,,,,,12,1499,1499
