Omeka ID,cidoc-crm:P149_is_identified_by,name_pedigree,name_source,edgeName,cidoc-crm:P152_has_parent,UUID-target,name_target
24916,b7348bab-5c1e-40cf-b5a1-39f8ef5dbebe,Oberto Lomellini q. Battista,Oberto Lomellini,—hasFather—>,24074,8428ead4-29e9-4a64-9128-e0f58c165c08,Battista Lomellini
24912,257599c6-a755-4b6b-8dd0-391e68f6fb5b,Oberto Lomellini q. Eliano,Oberto Lomellini,—hasFather—>,24285,366bfd75-4e96-4e0d-ad01-c80f928c2e0b,Eliano Lomellini
24914,b860764d-0293-429d-8d0e-1405c087dc18,Oberto Lomellini q. Eliano,Oberto Lomellini,—hasFather—>,24287,72222fa4-531e-42ae-b258-d0e1c84f9c21,Eliano Lomellini
24918,3fa24407-475e-4809-8f45-439cdbe57b7d,Oberto Lomellini q. Oberto da,Oberto Lomellini,—hasFather—>,25234,fadebe02-ff24-43ce-90d4-9ad2d040a377,Oberto da Lumbello
24915,9b7b8eeb-31cb-4779-8fcd-c6b1fe097334,Oberto Lomellini q. Opizio,Oberto Lomellini,—hasFather—>,24930,645bbad5-41ec-423a-a42f-24b77bbe8afd,Opizio Lomellini
24917,a0f93e14-f97d-4fac-9d1f-a1b92aa9e70c,Oberto Lomellini q. Simone,Oberto Lomellini,—hasFather—>,25085,8f55493a-9c00-4c0f-aa27-ac542ed6849d,Simone Lomellini
23816,3d3536ae-7c84-408e-b1b1-65ea9840d0ec,Odoardo Leardi q. Carlo,Odoardo Leardi,—hasFather—>,23815,2c517253-86e4-4241-91e4-aef602d59857,Carlo Leardi
24919,f5d504e7-7dfe-4345-8413-c947e04942a8,Odoardo Lomellini q. Angelo,Odoardo Lomellini,—hasFather—>,23945,039500c1-943a-4095-b467-38d29bc27196,Angelo Lomellini
24921,0505cc84-011d-4bba-aae1-1fb54951919b,Odoardo Lomellini q. Ettore,Odoardo Lomellini,—hasFather—>,24296,faad4b42-bdb2-4b04-a090-8399b7839b2c,Ettore Lomellini
24920,8d945d4b-7e93-4d69-afe9-483c111597c4,Odoardo Lomellini q. Gabriele,Odoardo Lomellini,—hasFather—>,24375,f4eac4e8-3bcf-40c7-9718-f0f4b86c69a0,Gabriele Lomellini
