cidoc-crm:P143_joined,targetID,edgeHusband,omeka-SRCID,cidoc-crm:P149_is_identified_by,targetName
23672,260feded-7e57-4198-8d96-999bb90a76c6,—marriedTo—>,24782,2a0f688b-17a0-4ab5-a370-c30d0bc085e0,
24274,269574ec-063b-46b8-b8a9-74b48274ff06,—marriedTo—>,25639,7f19ec94-bcd1-49c0-8451-1b69d267559a,
24274,269574ec-063b-46b8-b8a9-74b48274ff06,—marriedTo—>,25848,3927b422-e327-48c6-a623-22c328595233,
24950,271ffab6-aa40-465c-8e23-93203f11a771,—marriedTo—>,23579,2fc6f5fb-23dc-4b1d-9eb4-46701fbdd8ff,
24104,276d0c2d-10e4-438b-b87f-6cf3675cd150,—marriedTo—>,23609,f37e866a-394e-45b5-b904-6e006caa0896,
23204,28379a71-a06c-4fe9-a544-9d3ef8da6079,—marriedTo—>,25064,a4b58e22-93e0-418d-8c2f-ee571d4bf23a,
23630,2919abce-7f87-4410-9ba4-c4c3badf5470,—marriedTo—>,23905,015dbdd5-2c35-4d1f-808f-b07a4c08c3fa,
24848,2931a1b4-7519-49cd-9b3d-dd2100d1f028,—marriedTo—>,25606,3918a8ed-3761-4ed7-99a2-6a3f58c999bd,
25528,293c9e33-7974-435a-92f4-d9572893a0a3,—marriedTo—>,24800,dc6021d5-f926-4182-8b78-6939756b9c54,
24424,29f46975-756a-4af8-8f30-6dde99c111b9,—marriedTo—>,24199,24fc42e2-d7f1-42fa-a30b-a4fd311f1416,
24103,29fd3dd1-36a8-435a-bf10-e5dad69e5b68,—marriedTo—>,23192,e7c306d2-acbd-41c3-823e-60057831e6f6,
24327,2a06fbe5-a9ee-4a6c-9004-6ada6c0e8957,—marriedTo—>,25275,0a755ced-7e64-425a-b868-662cb5dd0780,
24889,2a2a2088-37eb-4555-9f5b-55ab984b312c,—marriedTo—>,23849,605db703-8ccd-42b1-aa80-10cdda923d7b,
24069,2a3cdd24-26c5-481d-85f6-b367634769c5,—marriedTo—>,23550,c02003bf-626e-487f-b1c4-867f54ed716e,
24069,2a3cdd24-26c5-481d-85f6-b367634769c5,—marriedTo—>,24180,41f345aa-74bb-4d45-8bbf-fe9c2befe716,
23770,2acedfc0-82f7-4e15-b37c-8e158b898cb7,—marriedTo—>,24566,3499914f-6d43-4dae-ac9c-88ba83d2c677,
23142,2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,—marriedTo—>,23002,27958a94-436f-4d83-bd94-793985fb620a,
23142,2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,—marriedTo—>,23032,42232586-1b9c-4852-83a4-47a5addf0ab5,Gironima Spinola
23142,2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,—marriedTo—>,25716,70e5174f-e17a-4acf-8821-37a4aecd022e,Maria — 
25806,2b56afa1-70aa-46ae-ab2b-f36b55d14453,—marriedTo—>,24362,040f15f2-ae77-4307-b98b-3196a675831c,
23799,2ba3df00-a217-4762-83d1-693905bbabbd,—marriedTo—>,23476,b302736c-76f9-4bb9-98af-2ef516eea0cd,
25410,2bbe68c9-3e12-4117-b1af-26b2311eccdd,—marriedTo—>,25198,aa108c95-177f-40c2-9b60-d5e352dba629,
23972,2bef7b36-045e-45be-93fb-dab6950a4f24,—marriedTo—>,25736,76fd97e1-3587-4c0a-811a-ad55de57cf29,
24857,2c670fbc-56fc-4976-87e6-82d51d72a9b3,—marriedTo—>,24261,abb9d253-bab7-498f-9e74-6d605f8bdd65,
25022,2cc1be33-1085-403c-b90f-b19e3907c8b4,—marriedTo—>,23049,8a80ccc0-6449-4e4c-93ad-b1dfa53d5ce5,
24037,2d00a10b-a19a-4e34-bfd2-5a24c0eb617f,—marriedTo—>,25253,ccb71fff-1b5d-4e75-824d-80c87b89d253,
23679,2d02cc99-943e-4bfc-b120-ae427fb1f460,—marriedTo—>,24807,f0dd0abb-8f99-4fa7-a97c-75dcf5c2f3e4,
24410,2e2199a0-5895-44b4-a7dd-5a3f9c08c4a3,—marriedTo—>,23315,922e0f97-6693-4dfe-8ebc-7a0f520c69e2,
25602,2edb8f6e-70a9-47d2-a983-da86a704461c,—marriedTo—>,24144,acfb46d3-53fe-4f09-985e-f12f9c0657bc,
25492,2f7c563c-3470-4ec7-8a9e-7a11cdb0bb31,—marriedTo—>,24669,664be104-4263-44d6-8dbd-4f782f044e88,
25484,303e4d37-0b96-4264-9959-6bcdc508b541,—marriedTo—>,24995,f889c4ec-0c22-48eb-adb9-bdcad802597e,
23459,3073fd4b-5a2f-4720-a74c-c8790efaef8c,—marriedTo—>,24827,edbe2682-6c2f-4e53-98ff-1f4c7dbca3c4,
